Sniper Elite 4;1482.75
Granado Espada;795.93
Tom Clancy's Ghost Recon® Wildlands;1232.91
DEAD OR ALIVE Xtreme Venus Vacation;1672.82
Rome: Total War;1276.35
Tree of Savior (English Ver.);1389.61
Beasts of Bermuda;460.64
FaceRig;906.67
Endless Space® 2;1393.77
Assassin's Creed IV Black Flag;1184.32
For The King;867.96
Stay Out;988.3
Marchof Empires;924.89
Plants vs. Zombies: Game of the Year;1662.39
Plague Inc: Evolved;2403.66
Total War: WARHAMMER;1422.25
Amazing Cultivation Simulator;2434.61
Workers & Resources: Soviet Republic;690.5
X4: Foundations;757.65
Stronghold Crusader HD;686.4
Sid Meier's Civilization IV: Beyond the Sword;1179.82
Frostpunk;4135.57
Tomb Raider;1014.5
MapleStory;1318.04
Nioh: Complete Edition;1021.27
NBA 2K19;3637.97
Onmyoji;960.18
Tracks of Triumph: Industrial Zone;2.24
Titan Quest Anniversary Edition;1035.5
Assassin's Creed Unity;546.44
DRAGON BALL Z: KAKAROT;11558.78
Brick Rigs;620.66
Resident Evil 7 Biohazard;405.78
Two Point Hospital;1710.28
Sid Meier's Civilization III: Complete;1085.5
DCS World Steam Edition;915.44
My Summer Car;684.58
Banished;1262.11
XCOM: Enemy Unknown;886.58
OMSI 2;674.75
The Elder Scrolls IV: Oblivion ;1090.83
A Dance of Fire and Ice;382.41
Crusaders of the Lost Idols;1372.16
Farming Simulator 17;1435.61
Barotrauma;218.72
Spore;768.05
Insurgency;1184.15
Enter the Gungeon;1551.85
Minion Masters;1117.26
Source Filmmaker;1006.6
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4;595.76
The Lord of the Rings Online™;516.09
Tropico 6;983.86
Realm Grinder;1333.68
Realm Royale;1514.52
Victoria II;772.58
BioShock Remastered;373.64
Undertale;961.57
DOOM;2464.74
Just Cause 3;1600.23
Naval Action;822.11
Age of Empires: Definitive Edition;963.5
Age of History II;527.05
Football Manager 2016;1258.69
Temtem;21967.39
Ironsight;165.15
Fallout Shelter;996.37
CODE VEIN;1731.03
Battle Brothers;1091.04
Cossacks 3;667.17
Rising Storm 2: Vietnam;1078.55
KARDS - The WWII Card Game;236.44
Surviving Mars;1754.52
Game of Thrones Winter is Coming;549.64
Project CARS 2;978.62
Governor of Poker 3;555.43
Outward;728.53
FTL: Faster Than Light;1370.51
Metin2;572.84
Rocksmith® 2014 Edition - Remastered;807.99
War Robots;482.69
Half-Life 2;1760.4
TERA;718.78
Cell to Singularity - Evolution Never Ends;1022.82
PC Building Simulator;673.33
Cuphead;985.97
Divinity: Original Sin Enhanced Edition;884.1
War Selection;396.2
Dawn of Man;894.15
Wolcen: Lords of Mayhem;715.69
F1 2019;1501.02
Trailmakers;498.48
Football Manager 2015;903.87
FINAL FANTASY XV WINDOWS EDITION;1160.64
Batman™: Arkham Knight;884.5
Golf It!;477.3
Mafia III: Definitive Edition;621
Fallout: New Vegas RU;523.11
Wreckfest;758.51
The Witcher 2: Assassins of Kings Enhanced Edition;2759.61
Wargame: Red Dragon;755.44
Deceit;1427.73
Idling to Rule the Gods;728.01
Pillars of Eternity II: Deadfire;1019.29
Crush Crush;1317.08
